"year","country","no","name","position","side","height","weight","birth","club","age","cohort","bmi"
"2001","AUT","19","lukas philipp ","F","R",176,72,1979-12-04,"ehc linz ",21.4072553045859,1979,23.2438016528926
"2001","AUT","20","pilloni patrick ","F","L",183,82,1970-02-21,"klagenfurter ac ",31.1895961670089,1970,24.485652005136
"2001","AUT","21","schaden mario ","F","L",173,85,1972-04-30,"klagenfurter ac ",29.0020533880903,1972,28.4005479635136
"2001","AUT","24","lanzinger gunther ","F","R",185,87,1972-01-04,"ec villach ",29.3223819301848,1972,25.4200146092038
"2001","AUT","26","wheeldon simon ","F","L",182,84,1966-08-30,"munchen barons ",34.6694045174538,1966,25.3592561284869
"2001","AUT","27","kromp wolfgang ","F","L",175,82,1970-09-17,"ec villach ",30.6201232032854,1970,26.7755102040816
"2001","AUT","29","perthaler christian ","F","L",183,92,1968-07-21,"klagenfurter ac ",32.7775496235455,1968,27.4717071277136
"2001","AUT","7","pusnik andreas ","F","R",178,80,1972-09-07,"ec villach ",28.6461327857632,1972,25.2493372048984
"2001","AUT","74","kalt dieter ","F","R",175,83,1974-06-26,"kolner haie ",26.8473648186174,1974,27.1020408163265
"2001","AUT","25","suttnig michael ","G","L",178,73,1973-11-08,"klagenfurter ac ",27.4770704996578,1973,23.0400201994698
"2001","AUT","31","dalpiaz claus ","G","L",175,70,1971-10-10,"innsbruck ",29.5578370978782,1971,22.8571428571429
"2001","AUT","38","divis reinhard ","G","L",182,87,1975-07-04,"leksands if ",25.8261464750171,1975,26.2649438473614
"2001","BLR","21","mikulchik oleg ","D","R",187,90,1964-06-21,"soviet wings ",36.8596851471595,1964,25.7370814149675
"2001","BLR","23","salei ruslan ","D","L",185,94,1974-11-02,"anaheim mighty ducks ",26.4941820670773,1974,27.4653031409788
"2001","BLR","26","stas sergei ","D","L",181,90,1974-04-28,"augsburger panthers ",27.0088980150582,1974,27.4716888983853
"2001","BLR","27","zhurik aleksandr ","D","L",193,98,1975-05-29,"avangard omsk ",25.9247091033539,1975,26.3094311256678
"2001","BLR","3","khmyl oleg ","D","R",182,90,1970-01-30,"lada togliatti ",31.2498288843258,1970,27.170631566236
"2001","BLR","30","kopat vladimir ","D","L",180,84,1971-04-23,"severstal ",30.0232717316906,1971,25.9259259259259
"2001","BLR","5","romanov oleg ","D","L",182,85,1970-03-31,"karpat oulu ",31.0855578370979,1970,25.6611520347784
"2001","BLR","7","erkovich sergei ","D","L",190,92,1974-03-09,"metallurg novokuznetsk ",27.1457905544148,1974,25.4847645429363
"2001","BLR","10","karachun viktor ","F","L",187,90,1968-08-12,"ec wilhelmshaven ",32.7173169062286,1968,25.7370814149675
"2001","BLR","13","kovalev andrei ","F","R",182,86,1966-04-02,"revier lowen ",35.0800821355236,1966,25.9630479410699
"2001","BLR","14","pankov vasily ","F","L",186,88,1968-08-15,"augsburger panthers ",32.7091033538672,1968,25.4364666435426
"2001","BLR","16","skabelka andrei ","F","L",186,90,1970-01-20,"lada togliatti ",31.2772073921971,1970,26.0145681581686
"2001","BLR","17","kalyuzhny aleksei ","F","L",187,87,1977-06-13,"metallurg magnitogorsk ",23.8822724161533,1977,24.8791787011353
"2001","BLR","18","antonenko oleg ","F","R",187,90,1971-07-11,"torpedo n novogorod ",29.8069815195072,1971,25.7370814149675
"2001","BLR","24","starostenko dmitry ","F","L",182,88,1973-03-18,"c.s.k.a. moscow ",28.1204654346338,1973,26.5668397536529
"2001","BLR","28","koltsov konstantin ","F","L",185,88,1981-04-17,"ak bars kazan ",20.0383299110199,1981,25.7121986851717
"2001","BLR","32","pankov dmitry ","F","L",184,88,1974-10-29,"torpedo n novogorod ",26.5051334702259,1974,25.992438563327
"2001","BLR","34","valui vitaly ","F","L",182,80,1974-04-17,"polymir novopolotsk ",27.0390143737166,1974,24.1516725033209
"2001","BLR","55","galchenyuk aleksander ","F","L",181,88,1967-07-28,"asiago hockey as ",33.7604380561259,1967,26.8612069228656
"2001","BLR","9","andrievsky aleksandr ","F","L",196,105,1968-08-10,"revier lowen ",32.7227926078029,1968,27.332361516035
"2001","BLR","2","shabanov sergei ","G","L",179,76,1974-02-24,"metallurg novokuznetsk ",27.1813826146475,1974,23.7196092506476
"2001","BLR","31","mezin andrei ","G","L",180,75,1974-07-08,"berlin capitals ",26.8145106091718,1974,23.1481481481481
"2001","BLR","33","fatikov leonid ","G","L",190,100,1968-04-24,"lada togliatti ",33.0184804928131,1968,27.7008310249307
"2001","CAN","18","mclaren kyle ","D","L",196,104,1977-06-18,"boston bruins ",23.8685831622177,1977,27.0720533111204
"2001","CAN","2","brewer eric ","D","L",191,100,1979-04-17,"edmonton oilers ",22.0396988364134,1979,27.411529289219
"2001","CAN","21","smith jason ","D","R",191,95,1973-11-02,"edmonton oilers ",27.4934976043806,1973,26.0409528247581
"2001","CAN","53","morris derek ","D","R",184,90,1978-08-24,"calgary flames ",22.6858316221766,1978,26.5831758034026
"2001","CAN","56","robidas stephane ","D","R",187,86,1977-03-03,"montreal canadiens ",24.1615331964408,1977,24.5932111298579
"2001","CAN","6","redden wade ","D","L",187,93,1977-06-12,"ottawa senators ",23.8850102669405,1977,26.5949841287998
"2001","CAN","10","marleau patrick ","F","L",187,95,1979-09-15,"san jose sharks ",21.6262833675565,1979,27.1669192713546
"2001","CAN","11","friesen jeff ","F","L",181,93,1976-08-05,"anaheim mighty ducks ",24.7364818617385,1976,28.3874118616648
"2001","CAN","14","marois daniel ","F","R",185,86,1968-10-03,"hc ambri piotta ",32.5749486652977,1968,25.1278305332359
"2001","CAN","15","isbister brad ","F","R",196,103,1977-05-07,"new york islanders ",23.9835728952772,1977,26.8117451062057
"2001","CAN","17","murray rem ","F","L",187,88,1972-10-09,"edmonton oilers ",28.5585215605749,1972,25.1651462724127
"2001","CAN","19","thornton joe ","F","L",196,97,1979-07-02,"boston bruins ",21.8316221765914,1979,25.249895876718
"2001","CAN","22","muller kirk ","F","L",183,94,1966-02-08,"dallas stars ",35.2251882272416,1966,28.0689181522291
"2001","CAN","24","walker scott ","F","R",179,88,1973-07-19,"nashville predators ",27.7837097878166,1973,27.4648107112762
"2001","CAN","26","sullivan steve ","F","R",175,72,1974-07-06,"chicago blackhawks ",26.8199863107461,1974,23.5102040816327
"2001","CAN","27","peca michael ","F","R",187,86,1974-03-26,"canada national team ",27.0992470910335,1974,24.5932111298579
"2001","CAN","29","morrow brenden ","F","L",187,95,1979-01-16,"dallas stars ",22.2888432580424,1979,27.1669192713546
"2001","CAN","33","draper kris ","F","L",187,86,1971-05-24,"detroit red wings ",29.9383983572895,1971,24.5932111298579
"2001","CAN","37","walz wes ","F","R",179,81,1970-05-15,"minnesota wild ",30.9623545516769,1970,25.2801098592428
"2001","CAN","4","lecavalier vincent ","F","L",196,93,1980-04-21,"tampa bay lightning ",21.0266940451745,1980,24.2086630570596
"2001","CAN","7","stuart brad ","F","L",187,95,1979-11-06,"san jose sharks ",21.4839151266256,1979,27.1669192713546
"2001","CAN","9","richards brad ","F","L",185,85,1980-05-02,"tampa bay lightning ",20.9965776865161,1980,24.8356464572681
"2001","CAN","94","smyth ryan ","F","L",183,88,1976-02-21,"edmonton oilers ",25.1909650924025,1976,26.2772850786825
"2001","CAN","1","luongo roberto ","G","L",192,90,1979-04-04,"florida panthers ",22.0752908966461,1979,24.4140625
"2001","CAN","35","giguere jean-sebastien ","G","L",191,84,1977-05-16,"anaheim mighty ducks ",23.958932238193,1977,23.025684602944
"2001","CAN","39","cloutier dan ","G","L",185,86,1976-04-22,"vancouver canucks ",25.0239561943874,1976,25.1278305332359
"2001","CAN","40","brathwaite fred ","G","L",168,79,1972-11-24,"calgary flames ",28.4325804243669,1972,27.9903628117914
"2001","CZE","12","kaberle frantisek ","D","L",184,84,1973-11-08,"atlanta thrashers ",27.4770704996578,1973,24.8109640831758
"2001","CZE","13","kubina pavel ","D","L",197,109,1977-04-15,"tampa bay lightning ",24.0438056125941,1977,28.0862686490247
"2001","CZE","29","pilar karel ","D","R",191,94,1977-12-23,"litvinov ",23.3538672142368,1977,25.7668375318659
"2001","CZE","5","richter martin ","D","R",182,92,1977-12-06,"saipa lappeenranta ",23.4004106776181,1977,27.774423378819
"2001","CZE","6","spacek jaroslav ","D","L",184,90,1974-02-11,"chicago blackhawks ",27.2169746748802,1974,26.5831758034026
"2001","CZE","7","martinek radek ","D","R",182,92,1976-08-31,"ceske budejovice ",24.6652977412731,1976,27.774423378819
"2001","CZE","8","kuba filip ","D","R",192,90,1976-12-29,"minnesota wild ",24.3367556468172,1976,24.4140625
"2001","CZE","10","patera pavel ","F","L",187,80,1971-09-06,"minnesota wild ",29.6509240246407,1971,22.8774057021934
"2001","CZE","11","ujcik viktor ","F","L",179,88,1972-05-24,"slavia praha ",28.9363449691992,1972,27.4648107112762
"2001","CZE","16","cajanek petr ","F","L",180,78,1975-08-18,"hc zlin ",25.7029431895962,1975,24.0740740740741
"2001","CZE","17","hlinka jaroslav ","F","L",178,78,1976-11-10,"sparta praha ",24.4709103353867,1976,24.6181037747759
"2001","CZE","19","dvorak radek ","F","R",188,84,1977-03-09,"new york rangers ",24.145106091718,1977,23.766410140335
"2001","CZE","20","prochazka martin ","F","R",180,78,1972-03-03,"vitkovice ",29.160848733744,1972,24.0740740740741
"2001","CZE","21","reichel robert ","F","L",178,83,1971-06-25,"litvinov ",29.8507871321013,1971,26.1961873500821
"2001","CZE","22","moravec david ","F","L",183,91,1973-03-24,"hc vitkovice ",28.104038329911,1973,27.1731016154558
"2001","CZE","25","vlasak tomas ","F","R",182,78,1975-02-01,"hpk hameenlinna ",26.2450376454483,1975,23.5478806907378
"2001","CZE","26","rucinsky martin ","F","L",185,87,1971-03-11,"montreal canadiens ",30.1409993155373,1971,25.4200146092038
"2001","CZE","30","dopita jiri ","F","L",193,97,1968-12-02,"vsetin ",32.4106776180698,1968,26.0409675427528
"2001","CZE","9","vyborny david ","F","L",179,83,1975-01-22,"columbus blue jackets ",26.2724161533196,1975,25.9043101026809
"2001","CZE","96","tomajko jan ","F","L",185,82,1976-06-19,"vsetin ",24.8651608487337,1976,23.9590942293645
"2001","CZE","3","hnilicka milan ","G","L",185,83,1973-06-25,"atlanta thrashers ",27.8494182067077,1973,24.2512783053324
"2001","CZE","35","hudacek vladimir ","G","L",184,92,1971-10-28,"hc zlin ",29.5085557837098,1971,27.1739130434783
"2001","CZE","72","salficky dusan ","G","L",186,80,1972-03-28,"hc plzen ",29.0924024640657,1972,23.1240605850387
"2001","FIN","2","kiprusoff marko ","D","R",184,89,1972-06-06,"ehc kloten ",28.9007529089665,1972,26.2878071833648
"2001","FIN","3","nummelin petteri ","D","L",178,83,1972-11-25,"columbus blue jackets ",28.4298425735797,1972,26.1961873500821
"2001","FIN","4","timonen kimmo ","D","L",178,88,1975-03-18,"nashville predators ",26.1218343600274,1975,27.7742709253882
"2001","FIN","40","niemi antti-jussi ","D","L",185,87,1977-09-22,"anaheim mighty ducks ",23.605749486653,1977,25.4200146092038
"2001","FIN","5","salo sami ","D","R",192,99,1974-09-02,"ottawa senators ",26.6611909650924,1974,26.85546875
"2001","FIN","55","gronvall janne ","D","L",190,92,1973-07-17,"tappara tampere ",27.7891854893908,1973,25.4847645429363
"2001","FIN","6","vaananen ossi ","D","L",191,92,1980-08-18,"phoenix coyotes ",20.7008898015058,1980,25.2186069460815
"2001","FIN","7","berg aki-petteri ","D","L",193,97,1977-07-28,"toronto maple leafs ",23.7590691307324,1977,26.0409675427528
"2001","FIN","14","helminen raimo ","F","L",183,89,1964-03-11,"ilves tampere ",37.138945927447,1964,26.5758905909403
"2001","FIN","15","laaksonen antti ","F","L",183,82,1973-10-03,"minnesota wild ",27.5756331279945,1973,24.485652005136
"2001","FIN","17","kallio tomi ","F","L",184,84,1977-01-27,"atlanta thrashers ",24.2573579739904,1977,24.8109640831758
"2001","FIN","21","kapanen niko ","F","L",177,80,1978-04-29,"tps turku ",23.006160164271,1978,25.5354463915222
"2001","FIN","24","kapanen sami ","F","L",177,77,1973-06-14,"carolina hurricanes ",27.8795345653662,1973,24.5778671518401
"2001","FIN","25","hentunen jukka ","F","R",178,88,1974-05-03,"jokerit helsinki ",26.9952087611225,1974,27.7742709253882
"2001","FIN","26","parssinen timo ","F","L",178,81,1977-01-19,"hpk hameenlinna ",24.2792607802875,1977,25.5649539199596
"2001","FIN","27","lind juha ","F","L",181,84,1974-01-20,"montreal canadiens ",27.2772073921971,1974,25.6402429718263
"2001","FIN","28","sihvonen toni ","F","L",185,90,1971-02-19,"ifk helsinki ",30.1957563312799,1971,26.2965668371074
"2001","FIN","32","rintanen kimmo ","F","L",181,88,1973-08-07,"tps turku ",27.7316906228611,1973,26.8612069228656
"2001","FIN","33","virta tony ","F","L",178,86,1972-06-28,"tps turku ",28.8405201916496,1972,27.1430374952657
"2001","FIN","36","ylonen juha ","F","L",184,84,1972-02-13,"phoenix coyotes ",29.2128678986995,1972,24.8109640831758
"2001","FIN","37","ruutu jarkko ","F","L",187,88,1975-08-23,"vancouver canucks ",25.6892539356605,1975,25.1651462724127
"2001","FIN","30","nurminen pasi ","G","L",179,88,1975-12-17,"jokerit helsinki ",25.3716632443532,1975,27.4648107112762
"2001","FIN","31","kiprusoff miikka ","G","L",185,84,1976-10-26,"san jose sharks ",24.5119780971937,1976,24.5434623813002
"2001","FIN","35","myllys jarmo ","G","L",175,78,1965-05-29,"lulea hf ",35.9233401779603,1965,25.469387755102
"2001","GER","12","ludemann mirko ","D","L",180,83,1973-12-15,"kolner haie ",27.3757700205339,1973,25.6172839506173
"2001","GER","13","schubert christoph ","D","L",185,80,1982-02-05,"munchen barons ",19.233401779603,1982,23.3747260774288
"2001","GER","2","molling jochen ","D","L",186,100,1973-08-09,"kassel huskies ",27.7262149212868,1973,28.9050757312984
"2001","GER","31","renz andreas ","D","L",183,90,1977-06-12,"schwenningen ",23.8850102669405,1977,26.8744961031981
"2001","GER","36","goldmann erich ","D","L",192,90,1976-04-07,"moskitos essen ",25.0650239561944,1976,24.4140625
"2001","GER","6","mayr jorg ","D","L",177,81,1970-01-03,"kolner haie ",31.3237508555784,1970,25.8546394714163
"2001","GER","84","seidenberg dennis ","D","L",184,82,1981-07-18,"adler mannheim ",19.7864476386037,1981,24.2202268431002
"2001","GER","9","smazal heiko ","D","L",179,81,1974-01-06,"munchen barons ",27.315537303217,1974,25.2801098592428
"2001","GER","11","felski sven ","F","L",181,76,1974-11-18,"eisbaren berlin ",26.4503764544832,1974,23.1983150697476
"2001","GER","16","hynes wayne ","F","L",182,93,1969-05-29,"die adler mannheim ",31.9233401779603,1969,28.0763192851105
"2001","GER","18","loth andreas ","F","L",184,88,1972-02-26,"kassel huskies ",29.1772758384668,1972,25.992438563327
"2001","GER","19","sturm marco ","F","L",181,84,1978-09-08,"san jose sharks ",22.6447638603696,1978,25.6402429718263
"2001","GER","20","rumrich jurgen ","F","L",181,85,1968-03-20,"nurnberg ice tigers ",33.1143052703628,1968,25.9454839595861
"2001","GER","22","daffner thomas ","F","L",191,95,1971-09-01,"kassel huskies ",29.6646132785763,1971,26.0409528247581
"2001","GER","26","kreutzer daniel ","F","L",178,82,1979-10-23,"kassel huskies ",21.5222450376454,1979,25.8805706350208
"2001","GER","27","abstreiter tobias ","F","L",175,84,1970-07-06,"kassel huskies ",30.8199863107461,1970,27.4285714285714
"2001","GER","29","greilinger thomas ","F","R",180,88,1981-08-06,"schwenningen ",19.7344284736482,1981,27.1604938271605
"2001","GER","44","soccio leonard ","F","L",181,85,1967-05-28,"hannover scorpions ",33.927446954141,1967,25.9454839595861
"2001","GER","49","kathan nikolaus ","F","R",181,84,1977-01-07,"kassel huskies ",24.3121149897331,1977,25.6402429718263
"2001","GER","7","goc marcel ","F","L",182,82,1983-08-24,"serc wild wings ",17.6865160848734,1983,24.7554643159039
"2001","GER","81","mackay mark ","F","R",175,75,1964-05-28,"schwenningen ",36.9253935660507,1964,24.4897959183673
"2001","GER","83","benda jan ","F","R",192,96,1972-04-28,"jokerit helsinki ",29.0075290896646,1972,26.0416666666667
"2001","GER","35","conti leonardo ","G","L",194,95,1978-09-15,"frankfurt lions ",22.6255989048597,1978,25.2417897757466
"2001","GER","47","kunast christian ","G","L",180,82,1971-03-07,"munchen barons ",30.1519507186858,1971,25.3086419753086
"2001","GER","80","muller robert ","G","L",172,74,1980-06-25,"adler mannheim ",20.8487337440109,1980,25.013520822066
"2001","ITA","12","mansi maurizio ","D","L",182,82,1965-09-03,"dusseldorfer eg ",35.6577686516085,1965,24.7554643159039
"2001","ITA","14","lorenzi carlo ","D","R",175,75,1974-09-02,"hc alleghe ",26.6611909650924,1974,24.4897959183673
"2001","ITA","26","rucchin larry ","D","L",185,93,1967-05-12,"milano vipers ",33.9712525667351,1967,27.173119065011
"2001","ITA","29","bartolone christopher ","D","R",179,82,1970-01-24,"dusseldorfer eg ",31.2662559890486,1970,25.5922099809619
"2001","ITA","37","de angelis michael ","D","L",180,83,1966-01-26,"la chaux-de-fonds ",35.2607802874743,1966,25.6172839506173
"2001","ITA","5","insam leo ","D","L",190,100,1975-02-06,"milano vipers ",26.2313483915127,1975,27.7008310249307
"2001","ITA","6","strazzabosco michele ","D","L",193,93,1976-02-06,"asiago hockey as ",25.2320328542094,1976,24.9671132110929
"2001","ITA","9","helfer armin ","D","L",187,86,1980-05-31,"sg brunico ",20.9171800136893,1980,24.5932111298579
"2001","ITA","10","de toni lino ","F","L",178,74,1972-10-18,"hc alleghe ",28.5338809034908,1972,23.355636914531
"2001","ITA","11","ramoser roland ","F","L",191,93,1972-09-03,"sv renon ",28.6570841889117,1972,25.4927222389737
"2001","ITA","15","beattie scott ","F","R",172,75,1968-05-16,"hc geneve-servette ",32.9582477754962,1968,25.3515413737155
"2001","ITA","16","zarrillo bruno ","F","R",181,77,1966-09-05,"kolner haie ",34.652977412731,1966,23.5035560575074
"2001","ITA","18","de toni manuel ","F","L",181,80,1979-01-10,"hc alleghe ",22.3052703627652,1979,24.4192790207869
"2001","ITA","19","felicetti dino ","F","L",186,84,1970-12-22,"hc fassa ",30.3572895277207,1970,24.2802636142907
"2001","ITA","21","busillo giuseppe ","F","L",186,92,1970-05-13,"schwenningen ",30.9678302532512,1970,26.5926696727945
"2001","ITA","22","margoni stefano ","F","L",182,80,1975-05-12,"hc fassa ",25.9712525667351,1975,24.1516725033209
"2001","ITA","24","chitarroni mario ","F","L",171,82,1967-06-11,"nurnberg ice tigers ",33.8891170431211,1967,28.0428165931398
"2001","ITA","28","sacratini vezio ","F","L",172,78,1966-09-12,"cardiff devils ",34.6338124572211,1966,26.3656030286641
"2001","ITA","77","iob anthony ","F","L",182,93,1971-01-02,"hc bolzano ",30.3271731690623,1971,28.0763192851105
"2001","ITA","8","chelodi armando ","F","R",179,82,1973-01-12,"hc bolzano ",28.2984257357974,1973,25.5922099809619
"2001","ITA","33","carpano andrea ","G","L",174,78,1976-03-09,"hc fassa ",25.1444216290212,1976,25.7629805786762
"2001","ITA","34","rosati mike ","G","L",178,82,1968-01-07,"adler mannheim ",33.3141683778234,1968,25.8805706350208
"2001","ITA","35","hell guenther ","G","L",174,76,1978-08-30,"bolzano ",22.6694045174538,1978,25.1023913330691
"2001","JPN","11","kawaguchi yutaka ","D","R",175,78,1973-04-05,"kokudo ",28.0711841204654,1973,25.469387755102
"2001","JPN","28","isojima akihito ","D","R",177,75,1973-07-14,"oji ",27.7973990417522,1973,23.9394809920521
"2001","JPN","3","ito kengo ","D","R",180,75,1978-12-04,"nippon paper cranes ",22.4065708418891,1978,23.1481481481481
"2001","JPN","39","miura hiroyuki ","D","R",191,86,1973-12-31,"kokudo ",27.3319644079398,1973,23.5739151887284
"2001","JPN","5","miyauchi fumitaka ","D","L",181,84,1972-11-06,"kokudo ",28.4818617385353,1972,25.6402429718263
"2001","JPN","6","kawashima makoto ","D","L",178,74,1979-05-02,"oji ",21.9986310746064,1979,23.355636914531
"2001","JPN","7","daikawa daniel ","D","R",179,88,1971-07-30,"seibu ",29.7549623545517,1971,27.4648107112762
"2001","JPN","9","katayama tatsuki ","D","L",186,88,1973-01-26,"kokudo ",28.2600958247776,1973,25.4364666435426
"2001","JPN","10","murakami hiroyuki ","F","R",182,81,1971-01-14,"huddinge ik ",30.2943189596167,1971,24.4535684096124
"2001","JPN","12","uchiyama tomohiko ","F","L",173,73,1979-10-13,"kokudo ",21.5496235455168,1979,24.3910588392529
"2001","JPN","18","suzuki takahito ","F","R",174,75,1975-08-17,"kokudo ",25.7056810403833,1975,24.7720967102656
"2001","JPN","19","iwata yasunori ","F","R",180,78,1972-11-24,"oji ",28.4325804243669,1972,24.0740740740741
"2001","JPN","21","kawahira makoto ","F","R",178,84,1971-08-25,"oji ",29.6837782340862,1971,26.5118040651433
"2001","JPN","22","shirono masaki ","F","R",179,79,1970-12-27,"oji ",30.3436002737851,1970,24.6559096158047
"2001","JPN","30","yahata shin ","F","L",178,77,1974-05-09,"kokudo ",26.9787816563997,1974,24.3024870597147
"2001","JPN","34","sakata junji ","F","R",181,80,1974-05-10,"kokudo ",26.9760438056126,1974,24.4192790207869
"2001","JPN","40","fujita kiyoshi ","F","R",172,74,1972-06-25,"seibu ",28.8487337440109,1972,25.013520822066
"2001","JPN","41","nihei taro ivan ","F","R",177,80,1971-03-09,"kokudo ",30.1464750171116,1971,25.5354463915222
"2001","JPN","71","kuwabara ryan ","F","R",185,89,1972-03-23,"kokudo ",29.1060917180014,1972,26.0043827611395
"2001","JPN","75","yule chris ","F","L",175,70,1975-03-29,"kokudo ",26.0917180013689,1975,22.8571428571429
"2001","JPN","1","iwasaki shinichi ","G","L",178,85,1968-08-21,"kokudo ",32.6926762491444,1968,26.8274207802045
"2001","JPN","27","nihei jiro igor ","G","L",173,76,1971-03-09,"huddinge ik ",30.1464750171116,1971,25.3934311203181
"2001","JPN","44","fukufuji yutaka ","G","L",185,76,1982-09-17,"kokudo ",18.6201232032854,1982,22.2059897735573
"2001","LAT","18","ozolins sandis ","D","L",188,88,1972-08-03,"carolina hurricanes ",28.7419575633128,1972,24.8981439565414
"2001","LAT","2","astasenko kaspars ","D","L",191,92,1975-02-17,"tampa bay lightning ",26.2012320328542,1975,25.2186069460815
"2001","LAT","22","sorokins olegs ","D","L",178,80,1974-01-04,"hc slovan bratislava ",27.3210130047912,1974,25.2493372048984
"2001","LAT","23","tribuncovs atvars ","D","L",190,89,1976-10-14,"bremerhaven ",24.5448323066393,1976,24.6537396121884
"2001","LAT","3","ignatjevs viktors ","D","L",190,92,1970-04-26,"leksands if ",31.0143737166324,1970,25.4847645429363
"2001","LAT","4","sejejs normunds ","D","L",185,85,1968-02-12,"hc becherovka karlovy vary ",33.2156057494867,1968,24.8356464572681
"2001","LAT","6","kupaks atrurs ","D","L",181,79,1973-07-14,"latvia ",27.7973990417522,1973,24.1140380330271
"2001","LAT","7","skrastins karlis ","D","L",188,85,1974-07-09,"nashville predators ",26.8117727583847,1974,24.0493435943866
"2001","LAT","10","opulskis juris ","F","L",176,80,1969-04-21,"ev fussen ",32.0273785078713,1969,25.8264462809917
"2001","LAT","12","macijevskis aleksandrs ","F","L",175,73,1975-06-26,"odense ",25.8480492813142,1975,23.8367346938776
